cluster,macro,x,y,z,name,source
cluster_602_macro,cluster_602_sector001_macro,0.0,0.0,0.0,Barren Shores,ego_dlc_boron
cluster_603_macro,cluster_603_sector001_macro,0.0,0.0,0.0,Great Reef,ego_dlc_boron
cluster_605_macro,cluster_605_sector001_macro,0.0,0.0,0.0,Sanctuary of Darkness,ego_dlc_boron
cluster_606_macro,cluster_606_sector001_macro,0.0,0.0,0.0,Kingdom End I,ego_dlc_boron
cluster_606_macro,cluster_606_sector002_macro,-622191.4,0.0,-41743070.0,Reflected Stars,ego_dlc_boron
cluster_606_macro,cluster_606_sector003_macro,59111760.0,0.0,-2041270.0,Towering Wave,ego_dlc_boron
cluster_604_macro,cluster_604_sector001_macro,0.0,0.0,0.0,Ocean of Fantasy,ego_dlc_boron
cluster_607_macro,cluster_607_sector001_macro,0.0,0.0,0.0,Rolk's Demise,ego_dlc_boron
cluster_601_macro,cluster_601_sector001_macro,0.0,0.0,0.0,Watchful Gaze,ego_dlc_boron
cluster_608_macro,cluster_608_sector001_macro,0.0,0.0,0.0,Atreus' Clouds,ego_dlc_boron
cluster_609_macro,cluster_609_sector001_macro,0.0,0.0,0.0,Menelaus' Oasis,ego_dlc_boron
cluster_730_macro,cluster_730_sector001_macro,0.0,0.0,0.0,Third Redemption,ego_dlc_mini_01
cluster_740_macro,cluster_740_sector001_macro,0.0,0.0,0.0,Scarlet Star,ego_dlc_mini_02
cluster_500_macro,cluster_500_sector001_macro,35038240.0,0.0,55106290.0,Avarice I,ego_dlc_pirate
cluster_500_macro,cluster_500_sector002_macro,986167.6,0.0,-210804500.0,Avarice V Dead End,ego_dlc_pirate
cluster_500_macro,cluster_500_sector003_macro,-110379200.0,0.0,-45945560.0,Avarice IV,ego_dlc_pirate
cluster_501_macro,cluster_501_sector001_macro,0.0,0.0,0.0,Windfall I Union Summit,ego_dlc_pirate
cluster_502_macro,cluster_502_sector001_macro,0.0,0.0,0.0,Windfall III The Hoard,ego_dlc_pirate
cluster_503_macro,cluster_503_sector001_macro,0.0,0.0,0.0,Windfall IV Aurora's Dream,ego_dlc_pirate
cluster_504_macro,cluster_504_sector001_macro,0.0,0.0,0.0,Unknown System,ego_dlc_pirate
cluster_401_macro,cluster_401_sector001_macro,0.0,0.0,0.0,Family Zhin,ego_dlc_split
cluster_402_macro,cluster_402_sector001_macro,0.0,0.0,0.0,Family Kritt,ego_dlc_split
cluster_403_macro,cluster_403_sector001_macro,0.0,0.0,0.0,Wretched Skies V Family Phi,ego_dlc_split
cluster_400_macro,cluster_400_sector001_macro,0.0,0.0,0.0,Wretched Skies IV Family Valka,ego_dlc_split
cluster_408_macro,cluster_408_sector001_macro,0.0,0.0,0.0,Thuruk's Demise III,ego_dlc_split
cluster_408_macro,cluster_408_sector002_macro,-18203762.0,0.0,14011029.0,Thuruk's Demise II First Impact,ego_dlc_split
cluster_407_macro,cluster_407_sector001_macro,0.0,0.0,0.0,Family Tkr,ego_dlc_split
cluster_409_macro,cluster_409_sector001_macro,0.0,0.0,0.0,Tharka's Ravine XXIV,ego_dlc_split
cluster_410_macro,cluster_410_sector001_macro,0.0,0.0,0.0,Tharka's Ravine XVI,ego_dlc_split
cluster_411_macro,cluster_411_sector001_macro,0.0,0.0,0.0,Heart of Acrimony II,ego_dlc_split
cluster_405_macro,cluster_405_sector001_macro,0.0,0.0,0.0,Zyarth's Dominion IV,ego_dlc_split
cluster_406_macro,cluster_406_sector001_macro,0.0,0.0,0.0,Zyarth's Dominion X,ego_dlc_split
cluster_404_macro,cluster_404_sector001_macro,0.0,0.0,0.0,Zyarth's Dominion I,ego_dlc_split
cluster_418_macro,cluster_418_sector001_macro,0.0,0.0,0.0,Family Nhuut,ego_dlc_split
cluster_419_macro,cluster_419_sector001_macro,0.0,0.0,0.0,Open Market,ego_dlc_split
cluster_420_macro,cluster_420_sector001_macro,0.0,0.0,0.0,Two Grand,ego_dlc_split
cluster_416_macro,cluster_416_sector001_macro,0.0,0.0,0.0,Guiding Star V,ego_dlc_split
cluster_416_macro,cluster_416_sector002_macro,-9526876.0,9695406.0,24569310.0,Guiding Star VII,ego_dlc_split
cluster_417_macro,cluster_417_sector001_macro,0.0,0.0,0.0,Eleventh Hour,ego_dlc_split
cluster_421_macro,cluster_421_sector001_macro,0.0,0.0,0.0,Fires of Defeat,ego_dlc_split
cluster_422_macro,cluster_422_sector001_macro,0.0,0.0,0.0,Wretched Skies X,ego_dlc_split
cluster_423_macro,cluster_423_sector001_macro,0.0,0.0,0.0,Litany of Fury IX,ego_dlc_split
cluster_423_macro,cluster_423_sector002_macro,130226256.0,0.0,112144392.0,Litany of Fury XII,ego_dlc_split
cluster_412_macro,cluster_412_sector001_macro,0.0,0.0,0.0,Tharka's Ravine VIII,ego_dlc_split
cluster_413_macro,cluster_413_sector001_macro,0.0,0.0,0.0,Tharka's Ravine IV Tharka's Fall,ego_dlc_split
cluster_414_macro,cluster_414_sector001_macro,0.0,0.0,0.0,Rhy's Defiance,ego_dlc_split
cluster_415_macro,cluster_415_sector001_macro,0.0,0.0,0.0,Matrix #598,ego_dlc_split
cluster_424_macro,cluster_424_sector001_macro,0.0,0.0,0.0,Emperor's Pride IV,ego_dlc_split
cluster_424_macro,cluster_424_sector002_macro,136719008.0,0.0,3677055.75,Emperor's Pride VI,ego_dlc_split
cluster_425_macro,cluster_425_sector001_macro,0.0,0.0,0.0,Heart of Acrimony I The Boneyard,ego_dlc_split
cluster_100_macro,cluster_100_sector001_macro,0.0,0.0,0.0,Asteroid Belt,ego_dlc_terran
cluster_101_macro,cluster_101_sector001_macro,0.0,0.0,0.0,Mars,ego_dlc_terran
cluster_102_macro,cluster_102_sector001_macro,0.0,0.0,0.0,Venus,ego_dlc_terran
cluster_104_macro,cluster_104_sector001_macro,0.0,0.0,0.0,Earth,ego_dlc_terran
cluster_104_macro,cluster_104_sector002_macro,0.0,0.0,-175890496.0,The Moon,ego_dlc_terran
cluster_106_macro,cluster_106_sector001_macro,0.0,0.0,0.0,Mercury,ego_dlc_terran
cluster_107_macro,cluster_107_sector001_macro,0.0,0.0,0.0,Jupiter,ego_dlc_terran
cluster_108_macro,cluster_108_sector001_macro,0.0,0.0,0.0,Saturn 1,ego_dlc_terran
cluster_108_macro,cluster_108_sector002_macro,-55073532.0,0.0,-159401120.0,Titan,ego_dlc_terran
cluster_108_macro,cluster_108_sector003_macro,-32631400.0,0.0,134273000.0,Saturn 2,ego_dlc_terran
cluster_109_macro,cluster_109_sector001_macro,0.0,0.0,0.0,Uranus,ego_dlc_terran
cluster_110_macro,cluster_110_sector001_macro,0.0,0.0,0.0,Neptune,ego_dlc_terran
cluster_111_macro,cluster_111_sector001_macro,0.0,0.0,0.0,Pluto,ego_dlc_terran
cluster_112_macro,cluster_112_sector001_macro,0.0,0.0,0.0,Savage Spur I,ego_dlc_terran
