station_code,station_id,station_macro,sector,ware,side,role,owner,stock,inbound,outbound,net,allocation,price_cr,price_avg,alloc_value_cr,fill_alloc,s,m_model,a_model,fill_model,cohort,denominator,s_model,residual,cohort_m_fit,cohort_a_fit,cohort_n_offers,cohort_n_distinct_fills,cohort_bin_rmse,confidence
ADA-792,[0x38de9],buildstorage_gen_base_01_macro,Hewa's Twin I,advancedelectronics,buy,,teladi,2.0,0.0,0.0,2.0,,1318.0,1014.0,,,1.0,,-0.039,0.007407,buildstorage/demand-curve,stock+inbound+open buy amount,1.0,0.0,,,0,0,,separate-book
ADA-792,[0x38de9],buildstorage_gen_base_01_macro,Hewa's Twin I,turretcomponents,buy,,teladi,17.0,0.0,0.0,17.0,,383.0,273.0,,,1.0,,-0.039,0.020359,buildstorage/demand-curve,stock+inbound+open buy amount,1.0,0.0,,,0,0,,separate-book
ADI-184,[0xa7136],buildstorage_gen_base_01_macro,Black Hole Sun V,turretcomponents,buy,,argon,30.0,0.0,0.0,30.0,,383.0,273.0,,,1.0,,-0.039,0.483871,buildstorage/demand-curve,stock+inbound+open buy amount,0.29021,0.70979,,,0,0,,separate-book
ADY-998,[0x81f3e],buildstorage_gen_base_01_macro,Brennan's Triumph,energycells,buy,,pioneers,166.0,0.0,0.0,166.0,,22.0,16.0,,,1.0,,-0.039,0.002243,buildstorage/demand-curve,stock+inbound+open buy amount,1.0,0.0,,,0,0,,separate-book
AED-533,[0x31d5a],buildstorage_gen_base_01_macro,Neptune,energycells,buy,,pioneers,2.0,3744.0,0.0,3746.0,,22.63,16.0,,,1.105,,-0.039,0.05027,buildstorage/demand-curve,stock+inbound+open buy amount,0.999477,0.105523,,,0,0,,separate-book
AEF-324,[0xfa02],buildstorage_gen_base_01_macro,Tharka's Ravine XVI,claytronics,buy,,freesplit,312.0,666.0,0.0,978.0,,2378.92,2040.0,,,1.107582,,-0.039,0.949515,buildstorage/demand-curve,stock+inbound+open buy amount,-0.863163,1.970745,,,0,0,,separate-book
AEF-324,[0xfa02],buildstorage_gen_base_01_macro,Tharka's Ravine XVI,turretcomponents,buy,,freesplit,0.0,0.0,0.0,0.0,,383.0,273.0,,,1.0,,-0.039,0.0,buildstorage/demand-curve,stock+inbound+open buy amount,1.0,0.0,,,0,0,,separate-book
AGQ-437,[0x9b565],buildstorage_gen_base_01_macro,Memory of Profit X,advancedelectronics,buy,,teladi,3.0,0.0,0.0,3.0,,1318.0,1014.0,,,1.0,,-0.039,0.010101,buildstorage/demand-curve,stock+inbound+open buy amount,1.0,0.0,,,0,0,,separate-book
AGQ-437,[0x9b565],buildstorage_gen_base_01_macro,Memory of Profit X,claytronics,buy,,teladi,305.0,0.0,0.0,305.0,,2372.67,2040.0,,,1.087157,,-0.039,0.402375,buildstorage/demand-curve,stock+inbound+open buy amount,0.504033,0.583124,,,0,0,,separate-book
AGQ-437,[0x9b565],buildstorage_gen_base_01_macro,Memory of Profit X,fieldcoils,buy,,teladi,0.0,0.0,0.0,0.0,,576.0,412.0,,,1.0,,-0.039,0.0,buildstorage/demand-curve,stock+inbound+open buy amount,1.0,0.0,,,0,0,,separate-book
AGQ-437,[0x9b565],buildstorage_gen_base_01_macro,Memory of Profit X,turretcomponents,buy,,teladi,647.0,0.0,0.0,647.0,,296.86,273.0,,,0.216909,,-0.039,0.711771,buildstorage/demand-curve,stock+inbound+open buy amount,-0.351719,0.568629,,,0,0,,separate-book
AGS-456,[0x7d5eb],buildstorage_gen_base_01_macro,Argon Prime,claytronics,buy,,argon,643.0,0.0,0.0,643.0,,1954.51,2040.0,,,-0.279379,,-0.039,0.848285,buildstorage/demand-curve,stock+inbound+open buy amount,-0.682421,0.403042,,,0,0,,separate-book
AGS-456,[0x7d5eb],buildstorage_gen_base_01_macro,Argon Prime,fieldcoils,buy,,argon,26.0,0.0,0.0,26.0,,576.0,412.0,,,1.0,,-0.039,0.068783,buildstorage/demand-curve,stock+inbound+open buy amount,0.996351,0.003649,,,0,0,,separate-book
AGS-456,[0x7d5eb],buildstorage_gen_base_01_macro,Argon Prime,shieldcomponents,buy,,argon,21.0,297.0,0.0,318.0,,260.93,188.0,,,0.959605,,-0.039,1.0,buildstorage/demand-curve,stock+inbound+open buy amount,-0.927005,1.88661,,,0,0,,separate-book
AGS-456,[0x7d5eb],buildstorage_gen_base_01_macro,Argon Prime,turretcomponents,buy,,argon,0.0,0.0,0.0,0.0,,383.0,273.0,,,1.0,,-0.039,0.0,buildstorage/demand-curve,stock+inbound+open buy amount,1.0,0.0,,,0,0,,separate-book
AJF-720,[0x57677],buildstorage_gen_base_01_macro,Moo-Kye's Revenge,advancedcomposites,buy,,scaleplate,5628.0,0.0,0.0,5628.0,,468.7,540.0,,,-0.660185,,-0.039,0.999645,buildstorage/demand-curve,stock+inbound+open buy amount,-0.926622,0.266437,,,0,0,,separate-book
AJF-720,[0x57677],buildstorage_gen_base_01_macro,Moo-Kye's Revenge,advancedelectronics,buy,,scaleplate,95.0,0.0,0.0,95.0,,1318.0,1014.0,,,1.0,,-0.039,0.053102,buildstorage/demand-curve,stock+inbound+open buy amount,0.999182,0.000818,,,0,0,,separate-book
AJF-720,[0x57677],buildstorage_gen_base_01_macro,Moo-Kye's Revenge,claytronics,buy,,scaleplate,1000.0,0.0,0.0,1000.0,,2289.19,2040.0,,,0.814346,,-0.039,0.58651,buildstorage/demand-curve,stock+inbound+open buy amount,-2.9e-05,0.814376,,,0,0,,separate-book
AJF-720,[0x57677],buildstorage_gen_base_01_macro,Moo-Kye's Revenge,energycells,buy,,scaleplate,40499.0,4196.0,0.0,44695.0,,12.03,16.0,,,-0.661667,,-0.039,1.0,buildstorage/demand-curve,stock+inbound+open buy amount,-0.927005,0.265338,,,0,0,,separate-book
AJF-720,[0x57677],buildstorage_gen_base_01_macro,Moo-Kye's Revenge,fieldcoils,buy,,scaleplate,0.0,0.0,0.0,0.0,,576.0,412.0,,,1.0,,-0.039,0.0,buildstorage/demand-curve,stock+inbound+open buy amount,1.0,0.0,,,0,0,,separate-book
AJF-720,[0x57677],buildstorage_gen_base_01_macro,Moo-Kye's Revenge,hullparts,buy,,scaleplate,0.0,0.0,0.0,0.0,,299.2,209.0,,,1.431746,,-0.039,0.0,buildstorage/demand-curve,stock+inbound+open buy amount,1.0,0.431746,,,0,0,,separate-book
AJF-720,[0x57677],buildstorage_gen_base_01_macro,Moo-Kye's Revenge,plasmaconductors,buy,,scaleplate,0.0,0.0,0.0,0.0,,1282.0,1026.0,,,1.0,,-0.039,0.0,buildstorage/demand-curve,stock+inbound+open buy amount,1.0,0.0,,,0,0,,separate-book
AJF-720,[0x57677],buildstorage_gen_base_01_macro,Moo-Kye's Revenge,shieldcomponents,buy,,scaleplate,0.0,0.0,0.0,0.0,,264.0,188.0,,,1.0,,-0.039,0.0,buildstorage/demand-curve,stock+inbound+open buy amount,1.0,0.0,,,0,0,,separate-book
AJF-720,[0x57677],buildstorage_gen_base_01_macro,Moo-Kye's Revenge,turretcomponents,buy,,scaleplate,287.0,0.0,0.0,287.0,,383.0,273.0,,,1.0,,-0.039,0.053515,buildstorage/demand-curve,stock+inbound+open buy amount,0.999133,0.000867,,,0,0,,separate-book
AKH-998,[0x99e36],buildstorage_gen_base_01_macro,Pious Mists XI,advancedelectronics,buy,,paranid,130.0,0.0,0.0,130.0,,868.54,1014.0,,,-0.478487,,-0.039,0.921986,buildstorage/demand-curve,stock+inbound+open buy amount,-0.820634,0.342148,,,0,0,,separate-book
AKH-998,[0x99e36],buildstorage_gen_base_01_macro,Pious Mists XI,shieldcomponents,buy,,paranid,0.0,0.0,0.0,0.0,,264.0,188.0,,,1.0,,-0.039,0.0,buildstorage/demand-curve,stock+inbound+open buy amount,1.0,0.0,,,0,0,,separate-book
AKH-998,[0x99e36],buildstorage_gen_base_01_macro,Pious Mists XI,turretcomponents,buy,,paranid,0.0,0.0,0.0,0.0,,383.0,273.0,,,1.0,,-0.039,0.0,buildstorage/demand-curve,stock+inbound+open buy amount,1.0,0.0,,,0,0,,separate-book
ALE-254,[0x76a9e],buildstorage_gen_base_01_macro,Second Contact II Flashpoint,fieldcoils,buy,,antigone,78.0,0.0,0.0,78.0,,355.41,412.0,,,-0.34297,,-0.039,0.866667,buildstorage/demand-curve,stock+inbound+open buy amount,-0.720004,0.377034,,,0,0,,separate-book
AOD-470,[0x9c713],buildstorage_gen_base_01_macro,Unholy Retribution,plasmaconductors,buy,,paranid,0.0,0.0,0.0,0.0,,1395.75,1026.0,,,1.444336,,-0.039,0.0,buildstorage/demand-curve,stock+inbound+open buy amount,1.0,0.444336,,,0,0,,separate-book
AOD-470,[0x9c713],buildstorage_gen_base_01_macro,Unholy Retribution,turretcomponents,buy,,paranid,174.0,0.0,0.0,174.0,,383.0,273.0,,,1.0,,-0.039,0.168768,buildstorage/demand-curve,stock+inbound+open buy amount,0.93149,0.06851,,,0,0,,separate-book
APU-416,[0x280a5],buildstorage_gen_base_01_macro,Zyarth's Dominion I,advancedelectronics,buy,,split,0.0,0.0,0.0,0.0,,1318.0,1014.0,,,1.0,,-0.039,0.0,buildstorage/demand-curve,stock+inbound+open buy amount,1.0,0.0,,,0,0,,separate-book
APU-416,[0x280a5],buildstorage_gen_base_01_macro,Zyarth's Dominion I,fieldcoils,buy,,split,20.0,0.0,0.0,20.0,,576.0,412.0,,,1.0,,-0.039,0.010655,buildstorage/demand-curve,stock+inbound+open buy amount,1.0,0.0,,,0,0,,separate-book
APU-416,[0x280a5],buildstorage_gen_base_01_macro,Zyarth's Dominion I,turretcomponents,buy,,split,1118.0,0.0,0.0,1118.0,,383.0,273.0,,,1.0,,-0.039,0.357989,buildstorage/demand-curve,stock+inbound+open buy amount,0.609639,0.390361,,,0,0,,separate-book
