ware,method,time,amount,input_ware,input_amount,work_effect
advancedcomposites,default,300,54,energycells,50,0.34
advancedcomposites,default,300,54,graphene,80,0.34
advancedcomposites,default,300,54,refinedmetals,80,0.34
advancedcomposites,teladi,300,54,energycells,50,0.34
advancedcomposites,teladi,300,54,graphene,80,0.34
advancedcomposites,teladi,300,54,teladianium,58,0.34
advancedelectronics,default,720,54,energycells,60,0.36
advancedelectronics,default,720,54,microchips,44,0.36
advancedelectronics,default,720,54,quantumtubes,20,0.36
antimattercells,default,120,99,energycells,100,0.35
antimattercells,default,120,99,hydrogen,320,0.35
antimatterconverters,default,300,133,advancedcomposites,20,0.39
antimatterconverters,default,300,133,energycells,80,0.39
antimatterconverters,default,300,133,microchips,30,0.39
bomb_player_limpet_emp_01_mk1,default,10,1,inv_magneticmaterial,1,
bomb_player_limpet_emp_01_mk1,default,10,1,inv_remotedetonator,1,
bomb_player_limpet_emp_01_mk1,default,10,1,inv_securecontainer,1,
bomb_player_limpet_mine_01_mk1,default,10,1,inv_remotedetonator,1,
bomb_player_limpet_mine_01_mk1,default,10,1,inv_securecontainer,1,
bomb_player_limpet_mine_01_mk1,default,10,1,inv_unstablecrystal,1,
claytronics,default,900,108,antimattercells,100,0.34
claytronics,default,900,108,energycells,140,0.34
claytronics,default,900,108,microchips,160,0.34
claytronics,default,900,108,quantumtubes,100,0.34
claytronics,recycling,300,60,energycells,12000,0.34
claytronics,recycling,300,60,scrapmetal,300,0.34
countermeasure_flares_01,default,1,1,advancedcomposites,1,
countermeasure_flares_01,default,1,1,energycells,9,
countermeasure_flares_01,xenon,10,1,energycells,15,
countermeasure_flares_01,xenon,10,1,ore,4,
countermeasure_flares_01,xenon,10,1,silicon,3,
dronecomponents,default,1200,105,energycells,60,0.43
dronecomponents,default,1200,105,engineparts,20,0.43
dronecomponents,default,1200,105,hullparts,20,0.43
dronecomponents,default,1200,105,microchips,20,0.43
dronecomponents,default,1200,105,scanningarrays,40,0.43
energycells,default,60,175,,,0.43
engineparts,default,900,208,antimattercells,80,0.47
engineparts,default,900,208,energycells,60,0.47
engineparts,default,900,208,refinedmetals,96,0.47
engineparts,teladi,900,208,antimattercells,80,0.47
engineparts,teladi,900,208,energycells,60,0.47
engineparts,teladi,900,208,teladianium,70,0.47
engine_arg_l_allround_01_mk1,default,20,1,antimatterconverters,147,
engine_arg_l_allround_01_mk1,default,20,1,energycells,25,
engine_arg_l_allround_01_mk1,default,20,1,engineparts,67,
engine_arg_l_travel_01_mk1,default,20,1,antimatterconverters,148,
engine_arg_l_travel_01_mk1,default,20,1,energycells,37,
engine_arg_l_travel_01_mk1,default,20,1,engineparts,76,
engine_arg_m_allround_01_mk1,default,15,1,antimatterconverters,3,
engine_arg_m_allround_01_mk1,default,15,1,energycells,15,
engine_arg_m_allround_01_mk1,default,15,1,engineparts,5,
engine_arg_m_allround_01_mk2,default,15,1,antimatterconverters,18,
engine_arg_m_allround_01_mk2,default,15,1,energycells,30,
engine_arg_m_allround_01_mk2,default,15,1,engineparts,22,
engine_arg_m_allround_01_mk3,default,15,1,antimatterconverters,90,
engine_arg_m_allround_01_mk3,default,15,1,energycells,60,
engine_arg_m_allround_01_mk3,default,15,1,engineparts,110,
engine_arg_m_combat_01_mk1,default,15,1,antimatterconverters,3,
engine_arg_m_combat_01_mk1,default,15,1,energycells,15,
engine_arg_m_combat_01_mk1,default,15,1,engineparts,7,
engine_arg_m_combat_01_mk2,default,15,1,antimatterconverters,22,
engine_arg_m_combat_01_mk2,default,15,1,energycells,30,
engine_arg_m_combat_01_mk2,default,15,1,engineparts,26,
engine_arg_m_combat_01_mk3,default,15,1,antimatterconverters,110,
engine_arg_m_combat_01_mk3,default,15,1,energycells,60,
engine_arg_m_combat_01_mk3,default,15,1,engineparts,130,
engine_arg_m_travel_01_mk1,default,15,1,antimatterconverters,3,
engine_arg_m_travel_01_mk1,default,15,1,energycells,15,
engine_arg_m_travel_01_mk1,default,15,1,engineparts,6,
engine_arg_m_travel_01_mk2,default,15,1,antimatterconverters,20,
engine_arg_m_travel_01_mk2,default,15,1,energycells,30,
engine_arg_m_travel_01_mk2,default,15,1,engineparts,25,
engine_arg_m_travel_01_mk3,default,15,1,antimatterconverters,105,
engine_arg_m_travel_01_mk3,default,15,1,energycells,60,
engine_arg_m_travel_01_mk3,default,15,1,engineparts,125,
engine_arg_s_allround_01_mk1,default,10,1,energycells,10,
engine_arg_s_allround_01_mk1,default,10,1,engineparts,4,
engine_arg_s_allround_01_mk2,default,10,1,antimatterconverters,8,
engine_arg_s_allround_01_mk2,default,10,1,energycells,20,
engine_arg_s_allround_01_mk2,default,10,1,engineparts,10,
engine_arg_s_allround_01_mk3,default,10,1,antimatterconverters,40,
engine_arg_s_allround_01_mk3,default,10,1,energycells,40,
engine_arg_s_allround_01_mk3,default,10,1,engineparts,45,
engine_arg_s_combat_01_mk1,default,10,1,energycells,10,
engine_arg_s_combat_01_mk1,default,10,1,engineparts,6,
engine_arg_s_combat_01_mk2,default,10,1,antimatterconverters,12,
engine_arg_s_combat_01_mk2,default,10,1,energycells,20,
engine_arg_s_combat_01_mk2,default,10,1,engineparts,16,
engine_arg_s_combat_01_mk3,default,10,1,antimatterconverters,60,
engine_arg_s_combat_01_mk3,default,10,1,energycells,40,
engine_arg_s_combat_01_mk3,default,10,1,engineparts,65,
engine_arg_s_travel_01_mk1,default,10,1,energycells,10,
engine_arg_s_travel_01_mk1,default,10,1,engineparts,5,
engine_arg_s_travel_01_mk2,default,10,1,antimatterconverters,10,
engine_arg_s_travel_01_mk2,default,10,1,energycells,20,
engine_arg_s_travel_01_mk2,default,10,1,engineparts,14,
engine_arg_s_travel_01_mk3,default,10,1,antimatterconverters,55,
engine_arg_s_travel_01_mk3,default,10,1,energycells,40,
engine_arg_s_travel_01_mk3,default,10,1,engineparts,60,
engine_arg_xl_allround_01_mk1,default,30,1,antimatterconverters,193,
engine_arg_xl_allround_01_mk1,default,30,1,energycells,50,
engine_arg_xl_allround_01_mk1,default,30,1,engineparts,89,
engine_arg_xl_travel_01_mk1,default,30,1,antimatterconverters,195,
engine_arg_xl_travel_01_mk1,default,30,1,energycells,50,
engine_arg_xl_travel_01_mk1,default,30,1,engineparts,101,
engine_gen_spacesuit_01_mk1,default,10,1,,,
engine_gen_spacesuit_01_mk2,default,10,1,,,
engine_par_l_allround_01_mk1,default,20,1,antimatterconverters,147,
engine_par_l_allround_01_mk1,default,20,1,energycells,25,
engine_par_l_allround_01_mk1,default,20,1,engineparts,67,
engine_par_l_travel_01_mk1,default,20,1,antimatterconverters,148,
engine_par_l_travel_01_mk1,default,20,1,energycells,37,
engine_par_l_travel_01_mk1,default,20,1,engineparts,76,
engine_par_m_allround_01_mk1,default,15,1,antimatterconverters,3,
engine_par_m_allround_01_mk1,default,15,1,energycells,15,
engine_par_m_allround_01_mk1,default,15,1,engineparts,5,
engine_par_m_allround_01_mk2,default,15,1,antimatterconverters,18,
engine_par_m_allround_01_mk2,default,15,1,energycells,30,
engine_par_m_allround_01_mk2,default,15,1,engineparts,22,
engine_par_m_allround_01_mk3,default,15,1,antimatterconverters,90,
engine_par_m_allround_01_mk3,default,15,1,energycells,60,
engine_par_m_allround_01_mk3,default,15,1,engineparts,110,
engine_par_m_combat_01_mk1,default,15,1,antimatterconverters,3,
engine_par_m_combat_01_mk1,default,15,1,energycells,15,
engine_par_m_combat_01_mk1,default,15,1,engineparts,7,
engine_par_m_combat_01_mk2,default,15,1,antimatterconverters,22,
engine_par_m_combat_01_mk2,default,15,1,energycells,30,
engine_par_m_combat_01_mk2,default,15,1,engineparts,26,
engine_par_m_combat_01_mk3,default,15,1,antimatterconverters,110,
engine_par_m_combat_01_mk3,default,15,1,energycells,60,
engine_par_m_combat_01_mk3,default,15,1,engineparts,130,
engine_par_m_travel_01_mk1,default,15,1,antimatterconverters,3,
engine_par_m_travel_01_mk1,default,15,1,energycells,15,
engine_par_m_travel_01_mk1,default,15,1,engineparts,6,
engine_par_m_travel_01_mk2,default,15,1,antimatterconverters,20,
engine_par_m_travel_01_mk2,default,15,1,energycells,30,
engine_par_m_travel_01_mk2,default,15,1,engineparts,25,
engine_par_m_travel_01_mk3,default,15,1,antimatterconverters,105,
engine_par_m_travel_01_mk3,default,15,1,energycells,60,
engine_par_m_travel_01_mk3,default,15,1,engineparts,125,
engine_par_s_allround_01_mk1,default,10,1,energycells,10,
engine_par_s_allround_01_mk1,default,10,1,engineparts,4,
engine_par_s_allround_01_mk2,default,10,1,antimatterconverters,8,
engine_par_s_allround_01_mk2,default,10,1,energycells,20,
engine_par_s_allround_01_mk2,default,10,1,engineparts,10,
engine_par_s_allround_01_mk3,default,10,1,antimatterconverters,40,
engine_par_s_allround_01_mk3,default,10,1,energycells,40,
engine_par_s_allround_01_mk3,default,10,1,engineparts,45,
engine_par_s_combat_01_mk1,default,10,1,energycells,10,
engine_par_s_combat_01_mk1,default,10,1,engineparts,6,
engine_par_s_combat_01_mk2,default,10,1,antimatterconverters,12,
engine_par_s_combat_01_mk2,default,10,1,energycells,20,
engine_par_s_combat_01_mk2,default,10,1,engineparts,16,
engine_par_s_combat_01_mk3,default,10,1,antimatterconverters,60,
engine_par_s_combat_01_mk3,default,10,1,energycells,40,
engine_par_s_combat_01_mk3,default,10,1,engineparts,65,
engine_par_s_travel_01_mk1,default,10,1,energycells,10,
engine_par_s_travel_01_mk1,default,10,1,engineparts,5,
engine_par_s_travel_01_mk2,default,10,1,antimatterconverters,10,
engine_par_s_travel_01_mk2,default,10,1,energycells,20,
engine_par_s_travel_01_mk2,default,10,1,engineparts,14,
engine_par_s_travel_01_mk3,default,10,1,antimatterconverters,55,
engine_par_s_travel_01_mk3,default,10,1,energycells,40,
engine_par_s_travel_01_mk3,default,10,1,engineparts,60,
engine_par_xl_allround_01_mk1,default,30,1,antimatterconverters,193,
engine_par_xl_allround_01_mk1,default,30,1,energycells,50,
engine_par_xl_allround_01_mk1,default,30,1,engineparts,89,
engine_par_xl_travel_01_mk1,default,30,1,antimatterconverters,205,
engine_par_xl_travel_01_mk1,default,30,1,energycells,56,
engine_par_xl_travel_01_mk1,default,30,1,engineparts,91,
engine_tel_l_allround_01_mk1,default,20,1,antimatterconverters,147,
engine_tel_l_allround_01_mk1,default,20,1,energycells,25,
engine_tel_l_allround_01_mk1,default,20,1,engineparts,67,
engine_tel_l_travel_01_mk1,default,20,1,antimatterconverters,148,
engine_tel_l_travel_01_mk1,default,20,1,energycells,39,
engine_tel_l_travel_01_mk1,default,20,1,engineparts,76,
engine_tel_m_allround_01_mk1,default,15,1,antimatterconverters,3,
engine_tel_m_allround_01_mk1,default,15,1,energycells,15,
engine_tel_m_allround_01_mk1,default,15,1,engineparts,5,
engine_tel_m_allround_01_mk2,default,15,1,antimatterconverters,18,
engine_tel_m_allround_01_mk2,default,15,1,energycells,30,
engine_tel_m_allround_01_mk2,default,15,1,engineparts,22,
engine_tel_m_allround_01_mk3,default,15,1,antimatterconverters,90,
engine_tel_m_allround_01_mk3,default,15,1,energycells,60,
engine_tel_m_allround_01_mk3,default,15,1,engineparts,110,
engine_tel_m_combat_01_mk1,default,15,1,antimatterconverters,3,
engine_tel_m_combat_01_mk1,default,15,1,energycells,15,
