macro,model,class,race,purpose,hull,mass,cargo,cargo_tags,crew,price,drag_forward,source
ship_arg_l_destroyer_01_a_macro,Behemoth Vanguard,L,argon,fight,93000,196.016,2300,container,44,4713125,99.004,
ship_arg_l_destroyer_01_b_macro,Behemoth Sentinel,L,argon,fight,111000,235.22,2760,container,36,5641250,108.805,
ship_arg_l_destroyer_02_a_macro,Behemoth E,L,argon,fight,153000,285,3100,container,48,9250830,80.583,
ship_arg_l_miner_liquid_01_a_macro,Magnetar (Gas) Vanguard,L,argon,mine,40000,205.27,52000,liquid,46,1307600,50.9,
ship_arg_l_miner_liquid_01_b_macro,Magnetar (Gas) Sentinel,L,argon,mine,46000,246.324,57200,liquid,38,1589310,59.9,
ship_arg_l_miner_solid_01_a_macro,Magnetar (Mineral) Vanguard,L,argon,mine,40000,204.245,50800,solid,46,1304385,50.9,
ship_arg_l_miner_solid_01_b_macro,Magnetar (Mineral) Sentinel,L,argon,mine,46000,245.094,57200,solid,38,1586095,59.9,
ship_arg_l_trans_container_01_a_macro,Veles Vanguard,L,argon,trade,57000,440.933,36000,container,110,3065695,120,
ship_arg_l_trans_container_01_b_macro,Veles Sentinel,L,argon,trade,69000,529.12,43200,container,91,3694780,135,
ship_arg_l_trans_container_02_a_macro,Mokosi Vanguard,L,argon,trade,53000,413.15,33000,container,113,3182880,122.63,
ship_arg_l_trans_container_02_b_macro,Mokosi Sentinel,L,argon,trade,64000,495.78,39600,container,94,3824825,139.156,
ship_arg_l_trans_container_03_a_macro,Incarcatura Vanguard,L,argon,trade,78000,598.799,45000,container,207,3096880,159.76,
ship_arg_l_trans_container_03_b_macro,Incarcatura Sentinel,L,argon,trade,93000,718.559,54000,container,172,4999085,183.712,
ship_arg_l_trans_container_04_a_macro,Shuyaku Vanguard,L,argon,trade,84000,650.415,37000,container,225,4520540,170.083,
ship_arg_l_trans_container_04_b_macro,Shuyaku Sentinel,L,argon,trade,101000,780.498,44400,container,187,5429245,196.1,
ship_arg_l_trans_container_05_a_macro,Sonra Vanguard,L,argon,trade,67000,520,29000,container,178,3587240,128,
