id,name,group,transport,volume,tags,price_min,price_avg,price_max,component,source
advancedcomposites,Advanced Composites,hightech,container,32,container economy stationbuilding,432,540,648,,
advancedelectronics,Advanced Electronics,shiptech,container,30,container economy stationbuilding,710,1014,1318,,
antimattercells,Antimatter Cells,refined,container,18,container economy,121,202,282,,
antimatterconverters,Antimatter Converters,shiptech,container,10,container economy,248,354,461,,
bomb_player_limpet_emp_01_mk1,Spacesuit EMP,hardware,inventory,1,bomb crafting inventory personalupgrade,110000,120000,130000,bomb_player_limpet_emp_01_mk1_macro,
bomb_player_limpet_mine_01_mk1,Spacesuit Bomb,hardware,inventory,1,bomb crafting inventory personalupgrade,85000,90000,100000,bomb_player_limpet_mine_01_mk1_macro,
claytronics,Claytronics,shiptech,container,24,container economy stationbuilding,1734,2040,2346,,
clothingmod_0001,Clothing Mod 0001,,inventory,1,clothingmod inventory,1,1,1,,
clothingmod_0002,Clothing Mod 0002,,inventory,1,clothingmod inventory,1,1,1,,
clothingmod_0003,Clothing Mod 0001,,inventory,1,clothingmod inventory,1,1,1,,
countermeasure_flares_01,Flares,countermeasures,equipment,1,countermeasure equipment,2179,2421,2663,countermeasure_flares_01_macro,
credits,Credits,,inventory,1,,1,1,1,,
crew,Crewman,,passenger,1,,5000,7500,10000,,
dronecomponents,Drone Components,shiptech,container,30,container economy,685,914,1142,,
energycells,Energy Cells,energy,container,1,container economy stationbuilding,10,16,22,,
engineparts,Engine Parts,hightech,container,15,container economy,128,182,237,,
engine_arg_l_allround_01_mk1,ARG L All-round Engine Mk1,engines,equipment,1,engine equipment,321518,357242,392966,engine_arg_l_allround_01_mk1_macro,
engine_arg_l_travel_01_mk1,ARG L Travel Engine Mk1,engines,equipment,1,engine equipment,337593,375104,412614,engine_arg_l_travel_01_mk1_macro,
engine_arg_m_allround_01_mk1,ARG M All-round Engine Mk1,engines,equipment,1,engine equipment,11767,13074,14382,engine_arg_m_allround_01_mk1_macro,
engine_arg_m_allround_01_mk2,ARG M All-round Engine Mk2,engines,equipment,1,engine equipment,58166,64629,71092,engine_arg_m_allround_01_mk2_macro,
engine_arg_m_allround_01_mk3,ARG M All-round Engine Mk3,engines,equipment,1,engine equipment,287722,319691,351660,engine_arg_m_allround_01_mk3_macro,
engine_arg_m_combat_01_mk1,ARG M Combat Engine Mk1,engines,equipment,1,engine equipment,14357,15952,17547,engine_arg_m_combat_01_mk1_macro,
engine_arg_m_combat_01_mk2,ARG M Combat Engine Mk2,engines,equipment,1,engine equipment,69711,77457,85202,engine_arg_m_combat_01_mk2_macro,
engine_arg_m_combat_01_mk3,ARG M Combat Engine Mk3,engines,equipment,1,engine equipment,345444,383827,422209,engine_arg_m_combat_01_mk3_macro,
engine_arg_m_travel_01_mk1,ARG M Travel Engine Mk1,engines,equipment,1,engine equipment,13062,14513,15964,engine_arg_m_travel_01_mk1_macro,
engine_arg_m_travel_01_mk2,ARG M Travel Engine Mk2,engines,equipment,1,engine equipment,65234,72482,79730,engine_arg_m_travel_01_mk2_macro,
engine_arg_m_travel_01_mk3,ARG M Travel Engine Mk3,engines,equipment,1,engine equipment,331013,367793,404572,engine_arg_m_travel_01_mk3_macro,
engine_arg_s_allround_01_mk1,ARG S All-round Engine Mk1,engines,equipment,1,engine equipment,5526,6140,6754,engine_arg_s_allround_01_mk1_macro,
engine_arg_s_allround_01_mk2,ARG S All-round Engine Mk2,engines,equipment,1,engine equipment,26370,29300,32230,engine_arg_s_allround_01_mk2_macro,
engine_arg_s_allround_01_mk3,ARG S All-round Engine Mk3,engines,equipment,1,engine equipment,123301,137001,150701,engine_arg_s_allround_01_mk3_macro,
engine_arg_s_combat_01_mk1,ARG S Combat Engine Mk1,engines,equipment,1,engine equipment,8116,9017,9919,engine_arg_s_combat_01_mk1_macro,
engine_arg_s_combat_01_mk2,ARG S Combat Engine Mk2,engines,equipment,1,engine equipment,40504,45005,49505,engine_arg_s_combat_01_mk2_macro,
engine_arg_s_combat_01_mk3,ARG S Combat Engine Mk3,engines,equipment,1,engine equipment,181023,201137,221250,engine_arg_s_combat_01_mk3_macro,
engine_arg_s_travel_01_mk1,ARG S Travel Engine Mk1,engines,equipment,1,engine equipment,6821,7579,8336,engine_arg_s_travel_01_mk1_macro,
engine_arg_s_travel_01_mk2,ARG S Travel Engine Mk2,engines,equipment,1,engine equipment,34732,38591,42450,engine_arg_s_travel_01_mk2_macro,
engine_arg_s_travel_01_mk3,ARG S Travel Engine Mk3,engines,equipment,1,engine equipment,166592,185103,203613,engine_arg_s_travel_01_mk3_macro,
engine_arg_xl_allround_01_mk1,ARG XL All-round Engine Mk1,engines,equipment,1,engine equipment,424061,471179,518297,engine_arg_xl_allround_01_mk1_macro,
engine_arg_xl_travel_01_mk1,ARG XL Travel Engine Mk1,engines,equipment,1,engine equipment,445263,494737,544210,engine_arg_xl_travel_01_mk1_macro,
engine_gen_spacesuit_01_mk1,Spacesuit Thrusters Mk1,engines,inventory,1,disallowdrop engine equipment inventory noblueprint nocustomgamestart noplayerblueprint personalupgrade,800,1000,1200,engine_gen_spacesuit_01_mk1_macro,
engine_gen_spacesuit_01_mk2,Spacesuit Thrusters Mk2,engines,inventory,1,disallowdrop engine equipment inventory noblueprint noplayerblueprint personalupgrade,45000,60000,75000,engine_gen_spacesuit_01_mk2_macro,
engine_kha_l_destroyer_01_allround_01_mk1,Kha'ak L Engine,engines,equipment,1,engine equipment noblueprint noplayerblueprint,0,0,0,engine_kha_l_destroyer_01_allround_01_mk1_macro,
engine_kha_m_combat_01_mk1,KHA M Combat Engine Mk1,engines,equipment,1,engine equipment noblueprint noplayerblueprint,0,0,0,engine_kha_m_combat_01_mk1_macro,
engine_kha_m_combat_02_mk1,KHA M Combat Engine Array Mk1,engines,equipment,1,engine equipment noblueprint noplayerblueprint,0,0,0,engine_kha_m_combat_02_mk1_macro,
engine_kha_s_combat_01_mk1,KHA S Combat Engine Mk1,engines,equipment,1,engine equipment noblueprint noplayerblueprint,0,0,0,engine_kha_s_combat_01_mk1_macro,
engine_kha_xl_battleship_01_allround_01_mk1,Kha'ak XL Engine,engines,equipment,1,engine equipment noblueprint noplayerblueprint,0,0,0,engine_kha_xl_battleship_01_allround_01_mk1_macro,
engine_par_l_allround_01_mk1,PAR L All-round Engine Mk1,engines,equipment,1,engine equipment,324732,360814,396895,engine_par_l_allround_01_mk1_macro,
engine_par_l_travel_01_mk1,PAR L Travel Engine Mk1,engines,equipment,1,engine equipment,340969,378855,416740,engine_par_l_travel_01_mk1_macro,
engine_par_m_allround_01_mk1,PAR M All-round Engine Mk1,engines,equipment,1,engine equipment,11767,13074,14382,engine_par_m_allround_01_mk1_macro,
engine_par_m_allround_01_mk2,PAR M All-round Engine Mk2,engines,equipment,1,engine equipment,58166,64629,71092,engine_par_m_allround_01_mk2_macro,
engine_par_m_allround_01_mk3,PAR M All-round Engine Mk3,engines,equipment,1,engine equipment,287722,319691,351660,engine_par_m_allround_01_mk3_macro,
engine_par_m_combat_01_mk1,PAR M Combat Engine Mk1,engines,equipment,1,engine equipment,14357,15952,17547,engine_par_m_combat_01_mk1_macro,
engine_par_m_combat_01_mk2,PAR M Combat Engine Mk2,engines,equipment,1,engine equipment,69711,77457,85202,engine_par_m_combat_01_mk2_macro,
engine_par_m_combat_01_mk3,PAR M Combat Engine Mk3,engines,equipment,1,engine equipment,345444,383827,422209,engine_par_m_combat_01_mk3_macro,
engine_par_m_travel_01_mk1,PAR M Travel Engine Mk1,engines,equipment,1,engine equipment,13062,14513,15964,engine_par_m_travel_01_mk1_macro,
