sector,macro,x,y,z,source
cluster_01_sector001_macro,tzonecluster_01_sector001shcon5_gatezone_macro,39898.99609375,0.0,200000.0,
cluster_01_sector001_macro,tzonecluster_01_sector001shcon7_gatezone_macro,-200000.0,0.0,50000.0,
cluster_01_sector001_macro,tzonecluster_01_sector001shcon8_gatezone_macro,-200000.0,0.0,39999.71875,
cluster_01_sector001_macro,tzonecluster_01_sector001shcon9_gatezone_macro,50000.0,0.0,200000.0,
cluster_01_sector001_macro,zone001_cluster_01_sector001_macro,-166831.9375,0.0,46814.92578125,
cluster_01_sector001_macro,zone002_cluster_01_sector001_macro,45157.97265625,0.0,164934.765625,
cluster_01_sector001_macro,zone003_cluster_01_sector001_macro,68625.484375,0.0,-37668.13671875,
cluster_01_sector001_macro,zone004_cluster_01_sector001_macro,143765.046875,0.0,148432.28125,
cluster_01_sector001_macro,zone005_cluster_01_sector01_macro,585172.125,-65343.75,-424218.625,
cluster_01_sector002_macro,tzonecluster_01_sector002_macro,354000.0,22000.0,17000.0,
cluster_01_sector002_macro,tzonecluster_01_sector002shcon11_gatezone_macro,200000.0,0.0,-40047.8515625,
cluster_01_sector002_macro,tzonecluster_01_sector002shcon12_gatezone_macro,200000.0,0.0,-50000.0,
cluster_01_sector002_macro,tzonecluster_01_sector002shcon5_gatezone_macro,40468.75,0.0,200000.0,
cluster_01_sector002_macro,tzonecluster_01_sector002shcon9_gatezone_macro,50000.0,0.0,200000.0,
cluster_01_sector002_macro,zone001_cluster_01_sector002_macro,163730.46875,0.0,-46467.7734375,
cluster_01_sector002_macro,zone002_cluster_01_sector002_macro,38722.65625,0.0,173126.953125,
cluster_01_sector002_macro,zone003_cluster_01_sector002_macro,36609.375,0.0,-119380.859375,
cluster_01_sector002_macro,zone004_cluster_01_sector002_macro,-106542.96875,0.0,-84961.9140625,
cluster_01_sector002_macro,zone005_cluster_01_sector002_macro,-85421.875,0.0,37069.3359375,
cluster_01_sector003_macro,tzonecluster_01_sector003shcon10_gatezone_macro,-39492.1875,0.0,-200000.0,
cluster_01_sector003_macro,tzonecluster_01_sector003shcon12_gatezone_macro,170218.75,0.0,-200035.15625,
cluster_01_sector003_macro,tzonecluster_01_sector003shcon4_gatezone_macro,160195.3125,0.0,-200000.0,
cluster_01_sector003_macro,tzonecluster_01_sector003shcon6_gatezone_macro,-50000.0,0.0,-200000.0,
